"BANAR",6
"BANWARLA",6
"BERU",6
"BISALPUR",6
"BISALPUR 4",6
"DAIKARA",6
"JAJIWAL KALLA",6
"JALALI  FAUZDARA",6
"JOLIYALI",6
"KHATIYASANY",6
"LORDI DAIJAGARA",6
"ROHILLA KALLAN",6
"SOORPURA",6
